Jan-17,,
Day,Time,Height
,,(m)
18,8:48 AM,1
18,4:16 PM,4.6
18,9:39 PM,3.5
19,2:18 AM,4.4
19,9:39 AM,0.9
19,5:02 PM,4.7
19,10:34 PM,3.3
20,3:18 AM,4.4
20,10:26 AM,0.8
20,5:41 PM,4.9
20,11:22 PM,3.1
21,4:16 AM,4.4
21,11:10 AM,0.9
21,6:16 PM,4.9
22,12:05 AM,2.9
22,5:13 AM,4.4
22,11:53 AM,1.1
22,6:50 PM,4.9
23,12:47 AM,2.6
23,6:07 AM,4.4
23,12:35 PM,1.3
23,7:23 PM,4.9
24,1:30 AM,2.4
24,6:59 AM,4.3
24,1:16 PM,1.7
24,7:55 PM,4.8
25,2:13 AM,2.3
25,7:52 AM,4.2
25,1:57 PM,2
25,8:27 PM,4.7
26,2:57 AM,2.1
26,8:48 AM,4.1
26,2:38 PM,2.4
26,8:59 PM,4.5
27,3:42 AM,2
27,9:51 AM,3.9
27,3:23 PM,2.7
27,9:34 PM,4.4
28,4:30 AM,2
28,11:06 AM,3.9
28,4:15 PM,3.1
28,10:10 PM,4.2
29,5:21 AM,1.9
29,12:38 PM,3.9
29,5:25 PM,3.3
29,10:53 PM,4
30,6:19 AM,1.9
30,2:03 PM,4
30,7:07 PM,3.5
30,11:47 PM,3.9
31,7:18 AM,1.8
31,3:06 PM,4.1
31,8:31 PM,3.5
Sep-17,,
Day,Time,Height
,,(m)
1,12:47 AM,3.9
1,8:12 AM,1.7
1,3:53 PM,4.2
1,9:28 PM,3.4
2,1:44 AM,3.9
2,8:59 AM,1.6
2,4:30 PM,4.4
2,10:09 PM,3.3
3,2:37 AM,4
3,9:40 AM,1.5
3,5:00 PM,4.5
3,10:42 PM,3.2
4,3:27 AM,4.1
4,10:18 AM,1.4
4,5:28 PM,4.5
4,11:12 PM,3
5,4:16 AM,4.2
5,10:55 AM,1.4
5,5:54 PM,4.6
5,11:42 PM,2.8
6,5:05 AM,4.3
6,11:32 AM,1.5
6,6:22 PM,4.7
7,12:15 AM,2.6
7,5:53 AM,4.4
7,12:10 PM,1.6
7,6:50 PM,4.7
8,12:53 AM,2.3
8,6:42 AM,4.5
8,12:50 PM,1.8
8,7:20 PM,4.7
9,1:34 AM,2
9,7:35 AM,4.5
9,1:32 PM,2.1
9,7:51 PM,4.7
10,2:18 AM,1.8
10,8:32 AM,4.4
10,2:18 PM,2.4
10,8:24 PM,4.6
11,3:07 AM,1.6
11,9:38 AM,4.3
11,3:10 PM,2.8
11,9:01 PM,4.5
12,4:00 AM,1.4
12,10:54 AM,4.3
12,4:10 PM,3.1
12,9:44 PM,4.4
13,4:59 AM,1.3
13,12:19 PM,4.3
13,5:30 PM,3.3
13,10:40 PM,4.2
14,6:07 AM,1.3
14,1:41 PM,4.4
14,7:11 PM,3.4
14,11:54 PM,4.1
15,7:18 AM,1.3
