site,code,ibutton_no,date_time,date,time,temperature
ruckle,1,r1.,2018-06-26T12:36:00Z,2018-06-26T07:00:00Z,12:36:00,32
ruckle,1,r1.,2018-06-26T13:06:00Z,2018-06-26T07:00:00Z,13:06:00,33
ruckle,1,r1.,2018-06-26T13:36:00Z,2018-06-26T07:00:00Z,13:36:00,19.5
ruckle,1,r1.,2018-06-26T14:06:00Z,2018-06-26T07:00:00Z,14:06:00,14
ruckle,1,r1.,2018-06-26T14:36:00Z,2018-06-26T07:00:00Z,14:36:00,13.5
ruckle,1,r1.,2018-06-26T15:06:00Z,2018-06-26T07:00:00Z,15:06:00,13.5
ruckle,1,r1.,2018-06-26T15:36:00Z,2018-06-26T07:00:00Z,15:36:00,13
ruckle,1,r1.,2018-06-26T16:06:00Z,2018-06-26T07:00:00Z,16:06:00,12.5
ruckle,1,r1.,2018-06-26T16:36:00Z,2018-06-26T07:00:00Z,16:36:00,12.5
ruckle,1,r1.,2018-06-26T17:06:00Z,2018-06-26T07:00:00Z,17:06:00,12
ruckle,1,r1.,2018-06-26T17:36:00Z,2018-06-26T07:00:00Z,17:36:00,12.5
ruckle,1,r1.,2018-06-26T18:06:00Z,2018-06-26T07:00:00Z,18:06:00,12.5
ruckle,1,r1.,2018-06-26T18:36:00Z,2018-06-26T07:00:00Z,18:36:00,12
ruckle,1,r1.,2018-06-26T19:06:00Z,2018-06-26T07:00:00Z,19:06:00,12
ruckle,1,r1.,2018-06-26T19:36:00Z,2018-06-26T07:00:00Z,19:36:00,12.5
ruckle,1,r1.,2018-06-26T20:06:00Z,2018-06-26T07:00:00Z,20:06:00,12
ruckle,1,r1.,2018-06-26T20:36:00Z,2018-06-26T07:00:00Z,20:36:00,12.5
ruckle,1,r1.,2018-06-26T21:06:00Z,2018-06-26T07:00:00Z,21:06:00,12
ruckle,1,r1.,2018-06-26T21:36:00Z,2018-06-26T07:00:00Z,21:36:00,12
ruckle,1,r1.,2018-06-26T22:06:00Z,2018-06-26T07:00:00Z,22:06:00,12
ruckle,1,r1.,2018-06-26T22:36:00Z,2018-06-26T07:00:00Z,22:36:00,12
ruckle,1,r1.,2018-06-26T23:06:00Z,2018-06-26T07:00:00Z,23:06:00,12.5
ruckle,1,r1.,2018-06-26T23:36:00Z,2018-06-26T07:00:00Z,23:36:00,12.5
ruckle,1,r1.,2018-06-27T00:06:00Z,2018-06-27T07:00:00Z,00:06:00,12.5
ruckle,1,r1.,2018-06-27T00:36:00Z,2018-06-27T07:00:00Z,00:36:00,12.5
ruckle,1,r1.,2018-06-27T01:06:00Z,2018-06-27T07:00:00Z,01:06:00,12.5
ruckle,1,r1.,2018-06-27T01:36:00Z,2018-06-27T07:00:00Z,01:36:00,12.5
ruckle,1,r1.,2018-06-27T02:06:00Z,2018-06-27T07:00:00Z,02:06:00,12.5
ruckle,1,r1.,2018-06-27T02:36:00Z,2018-06-27T07:00:00Z,02:36:00,12.5
ruckle,1,r1.,2018-06-27T03:06:00Z,2018-06-27T07:00:00Z,03:06:00,12.5
ruckle,1,r1.,2018-06-27T03:36:00Z,2018-06-27T07:00:00Z,03:36:00,12.5
ruckle,1,r1.,2018-06-27T04:06:00Z,2018-06-27T07:00:00Z,04:06:00,12.5
ruckle,1,r1.,2018-06-27T04:36:00Z,2018-06-27T07:00:00Z,04:36:00,12.5
ruckle,1,r1.,2018-06-27T05:06:00Z,2018-06-27T07:00:00Z,05:06:00,12.5
ruckle,1,r1.,2018-06-27T05:36:00Z,2018-06-27T07:00:00Z,05:36:00,12.5
ruckle,1,r1.,2018-06-27T06:06:00Z,2018-06-27T07:00:00Z,06:06:00,12.5
ruckle,1,r1.,2018-06-27T06:36:00Z,2018-06-27T07:00:00Z,06:36:00,12.5
ruckle,1,r1.,2018-06-27T07:06:00Z,2018-06-27T07:00:00Z,07:06:00,12.5
ruckle,1,r1.,2018-06-27T07:36:00Z,2018-06-27T07:00:00Z,07:36:00,12.5
ruckle,1,r1.,2018-06-27T08:06:00Z,2018-06-27T07:00:00Z,08:06:00,12.5
ruckle,1,r1.,2018-06-27T08:36:00Z,2018-06-27T07:00:00Z,08:36:00,13.5
ruckle,1,r1.,2018-06-27T09:06:00Z,2018-06-27T07:00:00Z,09:06:00,18.5
ruckle,1,r1.,2018-06-27T09:36:00Z,2018-06-27T07:00:00Z,09:36:00,19
ruckle,1,r1.,2018-06-27T10:06:00Z,2018-06-27T07:00:00Z,10:06:00,23.5
ruckle,1,r1.,2018-06-27T10:36:00Z,2018-06-27T07:00:00Z,10:36:00,27
ruckle,1,r1.,2018-06-27T11:06:00Z,2018-06-27T07:00:00Z,11:06:00,28.5
ruckle,1,r1.,2018-06-27T11:36:00Z,2018-06-27T07:00:00Z,11:36:00,29.5
ruckle,1,r1.,2018-06-27T12:06:00Z,2018-06-27T07:00:00Z,12:06:00,30.5
ruckle,1,r1.,2018-06-27T12:36:00Z,2018-06-27T07:00:00Z,12:36:00,30.5
